loan_id,update_date,servicer_name,reported_balance,reported_status,reported_rate,source_system,conflict_type,stale_flag,notes
LN0007382,2022-01-21,ServicerD,55610.34,60DPD,5.838,Servicer-Portal,rate_discrepancy,0,Update from ServicerB
LN0000472,2021-08-15,ServicerC,134019.46,90DPD,6.532,Servicer-Portal,none,0,Update from ServicerA
LN0000472,2022-03-16,ServicerC,134019.46,90DPD,5.164,LOS,none,0,Update from ServicerE
LN0000472,2023-01-02,ServicerA,126490.1,90DPD,5.326,Servicer-Portal,balance_mismatch,0,Update from ServicerE
LN0000472,2022-04-21,ServicerE,134019.46,Current,3.322,LOS,none,0,Update from ServicerD
LN0000472,2022-05-27,ServicerC,134019.46,90DPD,7.683,Manual-Entry,status_conflict,0,Update from ServicerE
LN0000472,2021-05-20,ServicerA,134019.46,90DPD,6.76,LOS,none,0,Update from ServicerC
LN0003050,2021-07-06,ServicerE,0.0,Default,4.185,Servicer-Portal,none,0,Update from ServicerB
LN0003050,2022-03-04,ServicerE,0.0,60DPD,5.998,Servicer-Portal,status_conflict,0,Update from ServicerC
LN0002740,2023-09-07,ServicerD,78800.51,30DPD,6.3,Batch-Upload,none,0,Update from ServicerC
LN0002740,2021-12-24,ServicerE,78800.51,90DPD,4.988,Manual-Entry,none,0,Update from ServicerB
LN0002740,2021-04-10,ServicerD,78800.51,Current,4.24,Batch-Upload,stale_record,1,Update from ServicerD
LN0002740,2021-11-08,ServicerC,78800.51,30DPD,8.1,LOS,status_conflict,0,Update from ServicerD
LN0001657,2021-03-11,ServicerA,130015.88,Current,2.574,LOS,none,0,Update from ServicerC
LN0004019,2022-02-07,ServicerD,0.0,Default,7.528,Manual-Entry,none,0,Update from ServicerC
LN0004763,2023-02-03,ServicerE,185478.51,Default,4.482,Servicer-Portal,none,0,Update from ServicerB
LN0004763,2023-12-02,ServicerB,185478.51,90DPD,7.142,Batch-Upload,none,0,Update from ServicerC
LN0004763,2021-06-16,ServicerB,209090.0,Default,5.036,Servicer-Portal,balance_mismatch,0,Update from ServicerA
LN0004763,2023-07-08,ServicerC,185478.51,Current,4.833,Batch-Upload,stale_record,1,Update from ServicerE
LN0004763,2023-05-10,ServicerE,185478.51,Default,3.922,Servicer-Portal,rate_discrepancy,0,Update from ServicerA
LN0006593,2021-02-11,ServicerE,338669.65,30DPD,4.565,Manual-Entry,none,0,Update from ServicerE
LN0005662,2022-07-03,ServicerD,254831.0,60DPD,4.649,LOS,status_conflict,0,Update from ServicerB
LN0005662,2023-03-28,ServicerE,254831.0,Current,7.736,Batch-Upload,none,0,Update from ServicerA
LN0007566,2022-09-17,ServicerD,89673.41,30DPD,6.638,LOS,stale_record,1,Update from ServicerA
LN0007566,2022-03-28,ServicerE,89673.41,Default,4.241,Manual-Entry,none,0,Update from ServicerE
LN0007566,2023-01-03,ServicerC,89673.41,60DPD,5.507,Batch-Upload,status_conflict,0,Update from ServicerD
LN0004578,2021-10-11,ServicerB,0.0,30DPD,5.848,Manual-Entry,rate_discrepancy,0,Update from ServicerE
LN0004578,2021-04-04,ServicerC,0.0,60DPD,6.967,Batch-Upload,balance_mismatch,0,Update from ServicerD
LN0004578,2023-07-13,ServicerC,0.0,90DPD,4.86,Servicer-Portal,none,0,Update from ServicerA
LN0004578,2022-01-11,ServicerC,0.0,90DPD,4.893,Batch-Upload,stale_record,1,Update from ServicerB
LN0004578,2021-01-06,ServicerD,0.0,Default,7.272,Manual-Entry,status_conflict,0,Update from ServicerB
LN0004578,2022-11-28,ServicerA,0.0,90DPD,5.914,Servicer-Portal,balance_mismatch,0,Update from ServicerE
LN0002561,2021-08-17,ServicerC,44546.62,90DPD,5.045,Batch-Upload,status_conflict,0,Update from ServicerC
LN0001536,2021-05-29,ServicerE,0.0,90DPD,7.955,Servicer-Portal,stale_record,1,Update from ServicerE
LN0001536,2023-04-22,ServicerA,0.0,60DPD,2.683,LOS,status_conflict,0,Update from ServicerD
LN0001536,2023-03-31,ServicerE,0.0,90DPD,4.279,Servicer-Portal,stale_record,1,Update from ServicerB
LN0001536,2023-03-24,ServicerE,0.0,Default,4.411,LOS,none,0,Update from ServicerC
LN0001536,2022-11-10,ServicerD,0.0,30DPD,3.7,LOS,rate_discrepancy,0,Update from ServicerD
LN0001553,2021-05-26,ServicerC,174303.4,Current,6.639,Batch-Upload,none,0,Update from ServicerA
LN0001553,2022-10-30,ServicerA,174303.4,90DPD,7.719,Batch-Upload,none,0,Update from ServicerB
LN0001553,2023-04-01,ServicerD,174303.4,Default,4.518,Batch-Upload,none,0,Update from ServicerE
LN0001553,2023-01-28,ServicerE,298042.67,60DPD,4.038,Batch-Upload,balance_mismatch,0,Update from ServicerB
LN0001553,2023-10-08,ServicerC,174303.4,Default,6.155,Batch-Upload,rate_discrepancy,0,Update from ServicerD
LN0008977,2023-09-26,ServicerC,0.0,90DPD,6.03,Manual-Entry,none,0,Update from ServicerB
LN0008977,2022-08-17,ServicerE,0.0,90DPD,6.076,LOS,none,0,Update from ServicerA
LN0008977,2023-08-03,ServicerC,0.0,90DPD,5.715,LOS,stale_record,1,Update from ServicerD
LN0008977,2021-06-15,ServicerA,0.0,60DPD,6.894,Batch-Upload,status_conflict,0,Update from ServicerA
LN0008977,2021-12-19,ServicerD,0.0,Current,7.518,Batch-Upload,rate_discrepancy,0,Update from ServicerC
LN0008977,2023-11-08,ServicerB,0.0,Current,5.981,Servicer-Portal,stale_record,1,Update from ServicerB
LN0004702,2021-07-21,ServicerD,278778.46,60DPD,7.013,Batch-Upload,stale_record,1,Update from ServicerB
LN0004702,2022-09-13,ServicerE,278778.46,Default,4.44,Manual-Entry,none,0,Update from ServicerC
LN0004702,2021-12-01,ServicerA,278778.46,60DPD,4.934,LOS,status_conflict,0,Update from ServicerA
LN0001452,2023-10-26,ServicerA,165540.18,90DPD,4.061,Servicer-Portal,none,0,Update from ServicerA
LN0001452,2022-05-16,ServicerE,165540.18,60DPD,6.743,LOS,none,0,Update from ServicerA
LN0001452,2021-11-14,ServicerA,203639.53,Current,4.791,LOS,balance_mismatch,0,Update from ServicerE
LN0001452,2022-09-17,ServicerA,165540.18,30DPD,7.891,Batch-Upload,rate_discrepancy,0,Update from ServicerD
LN0001452,2022-04-14,ServicerA,165540.18,Default,5.483,Batch-Upload,none,0,Update from ServicerE
LN0003649,2022-12-28,ServicerC,148507.79,60DPD,3.408,Manual-Entry,rate_discrepancy,0,Update from ServicerA
LN0003649,2023-04-05,ServicerE,148507.79,90DPD,7.566,Manual-Entry,stale_record,1,Update from ServicerA
LN0003649,2023-01-24,ServicerC,148507.79,Default,4.79,Servicer-Portal,none,0,Update from ServicerA
LN0003649,2022-11-18,ServicerC,148507.79,Current,6.297,Servicer-Portal,none,0,Update from ServicerD
LN0003649,2021-09-14,ServicerD,148507.79,30DPD,4.225,Servicer-Portal,none,0,Update from ServicerC
LN0005021,2023-07-02,ServicerC,0.0,Current,4.516,Batch-Upload,stale_record,1,Update from ServicerB
LN0005021,2022-07-10,ServicerD,0.0,Current,5.716,Manual-Entry,rate_discrepancy,0,Update from ServicerE
LN0005021,2021-08-29,ServicerD,0.0,Current,6.627,LOS,status_conflict,0,Update from ServicerC
LN0005021,2022-10-31,ServicerE,0.0,90DPD,3.679,Batch-Upload,rate_discrepancy,0,Update from ServicerC
LN0005021,2023-04-25,ServicerC,0.0,60DPD,2.897,Servicer-Portal,none,0,Update from ServicerE
LN0005021,2023-08-24,ServicerD,0.0,60DPD,4.123,Manual-Entry,none,0,Update from ServicerD
LN0006283,2022-12-13,ServicerA,126444.86,60DPD,7.159,Servicer-Portal,none,0,Update from ServicerA
LN0006283,2022-01-16,ServicerC,126444.86,Current,5.952,Manual-Entry,stale_record,1,Update from ServicerE
LN0006283,2021-05-31,ServicerB,126444.86,90DPD,7.96,Manual-Entry,rate_discrepancy,0,Update from ServicerE
LN0006283,2022-03-15,ServicerE,126444.86,Default,6.096,Batch-Upload,stale_record,1,Update from ServicerD
LN0008317,2021-07-07,ServicerB,0.0,30DPD,4.612,LOS,none,0,Update from ServicerD
LN0008317,2022-11-27,ServicerB,0.0,90DPD,5.688,Manual-Entry,none,0,Update from ServicerD
LN0007367,2022-03-20,ServicerD,201198.73,Current,5.24,Manual-Entry,status_conflict,0,Update from ServicerE
LN0007367,2023-04-15,ServicerA,201198.73,30DPD,6.712,Batch-Upload,stale_record,1,Update from ServicerD
LN0007367,2023-04-25,ServicerD,201198.73,60DPD,6.254,Manual-Entry,stale_record,1,Update from ServicerB
LN0007367,2022-06-29,ServicerA,201198.73,Current,5.311,Servicer-Portal,stale_record,1,Update from ServicerE
LN0007367,2023-05-06,ServicerD,201198.73,30DPD,4.93,Batch-Upload,none,0,Update from ServicerB
LN0009292,2023-03-30,ServicerE,0.0,Default,8.577,Manual-Entry,stale_record,1,Update from ServicerC
LN0009292,2022-06-08,ServicerE,0.0,Current,3.088,Batch-Upload,none,0,Update from ServicerA
LN0009292,2023-06-07,ServicerD,0.0,Current,5.007,Manual-Entry,balance_mismatch,0,Update from ServicerD
LN0009292,2023-11-20,ServicerC,0.0,90DPD,5.522,Batch-Upload,none,0,Update from ServicerA
LN0009292,2023-09-04,ServicerE,0.0,90DPD,7.937,Servicer-Portal,stale_record,1,Update from ServicerA
LN0009292,2021-02-26,ServicerE,0.0,Default,6.571,Batch-Upload,none,0,Update from ServicerB
LN0007569,2021-02-27,ServicerE,131136.23,30DPD,5.994,Servicer-Portal,none,0,Update from ServicerB
LN0007569,2023-07-28,ServicerC,131136.23,90DPD,6.938,Batch-Upload,none,0,Update from ServicerA
LN0003213,2022-03-20,ServicerE,74237.77,90DPD,2.295,Manual-Entry,stale_record,1,Update from ServicerB
LN0003213,2023-01-27,ServicerE,74237.77,Current,4.62,LOS,rate_discrepancy,0,Update from ServicerE
LN0003213,2021-04-09,ServicerB,74237.77,90DPD,5.389,LOS,stale_record,1,Update from ServicerD
LN0003213,2022-01-25,ServicerB,74237.77,Current,5.879,Servicer-Portal,status_conflict,0,Update from ServicerD
LN0003213,2021-10-23,ServicerE,74237.77,30DPD,3.954,LOS,none,0,Update from ServicerA
LN0003213,2023-08-08,ServicerE,103279.46,60DPD,6.057,LOS,balance_mismatch,0,Update from ServicerA
LN0000813,2023-06-12,ServicerB,247617.11,Current,3.906,Batch-Upload,status_conflict,0,Update from ServicerA
LN0000813,2023-09-19,ServicerD,138618.93,Current,6.082,Servicer-Portal,balance_mismatch,0,Update from ServicerB
LN0000813,2022-08-25,ServicerB,247617.11,30DPD,4.383,LOS,rate_discrepancy,0,Update from ServicerA
LN0000813,2021-07-03,ServicerE,247617.11,30DPD,7.255,Batch-Upload,none,0,Update from ServicerC
LN0000813,2021-12-12,ServicerD,247617.11,60DPD,2.675,LOS,none,0,Update from ServicerC
LN0000813,2021-11-18,ServicerA,247617.11,30DPD,7.755,Manual-Entry,none,0,Update from ServicerA
LN0004028,2023-08-03,ServicerD,0.0,Default,7.277,Servicer-Portal,stale_record,1,Update from ServicerD
LN0004028,2021-01-14,ServicerE,0.0,90DPD,8.462,Manual-Entry,stale_record,1,Update from ServicerA
LN0004028,2023-12-09,ServicerD,0.0,Default,4.293,LOS,balance_mismatch,0,Update from ServicerC
LN0004028,2021-10-27,ServicerE,0.0,60DPD,3.486,Manual-Entry,none,0,Update from ServicerC
LN0001733,2023-03-03,ServicerE,258281.9,30DPD,4.183,LOS,none,0,Update from ServicerC
LN0001733,2022-03-01,ServicerA,258281.9,90DPD,5.879,Batch-Upload,none,0,Update from ServicerA
LN0002531,2022-05-08,ServicerB,140396.53,30DPD,6.653,Manual-Entry,rate_discrepancy,0,Update from ServicerC
LN0003366,2022-07-27,ServicerB,55552.08,30DPD,5.41,Batch-Upload,stale_record,1,Update from ServicerC
LN0003366,2023-11-04,ServicerB,55552.08,90DPD,5.01,LOS,none,0,Update from ServicerB
LN0003366,2021-07-11,ServicerB,55552.08,60DPD,5.041,Servicer-Portal,none,0,Update from ServicerB
LN0003366,2021-07-25,ServicerD,55552.08,30DPD,6.701,Servicer-Portal,status_conflict,0,Update from ServicerA
LN0003366,2023-04-06,ServicerE,55552.08,90DPD,5.509,LOS,none,0,Update from ServicerB
LN0000984,2023-06-08,ServicerB,0.0,60DPD,7.463,Batch-Upload,none,0,Update from ServicerD
LN0000984,2022-10-18,ServicerC,0.0,90DPD,5.056,Manual-Entry,none,0,Update from ServicerA
LN0000984,2021-10-11,ServicerB,0.0,30DPD,6.331,Manual-Entry,none,0,Update from ServicerD
LN0000984,2021-05-18,ServicerA,0.0,Default,6.028,Batch-Upload,balance_mismatch,0,Update from ServicerA
LN0000984,2023-12-07,ServicerC,0.0,Default,6.349,Batch-Upload,stale_record,1,Update from ServicerE
LN0000984,2023-07-26,ServicerA,0.0,90DPD,8.166,Batch-Upload,balance_mismatch,0,Update from ServicerC
LN0001747,2021-03-01,ServicerC,126519.11,30DPD,2.205,Batch-Upload,none,0,Update from ServicerC
LN0001747,2021-01-31,ServicerA,126519.11,90DPD,6.537,Manual-Entry,stale_record,1,Update from ServicerC
LN0001747,2022-09-24,ServicerC,181871.23,Default,5.11,Batch-Upload,balance_mismatch,0,Update from ServicerC
LN0008894,2022-01-06,ServicerA,147147.0,60DPD,6.571,Servicer-Portal,status_conflict,0,Update from ServicerE
LN0008894,2023-01-23,ServicerB,147147.0,30DPD,5.605,Manual-Entry,none,0,Update from ServicerE
LN0008894,2021-04-26,ServicerE,147147.0,30DPD,2.972,Servicer-Portal,rate_discrepancy,0,Update from ServicerE
LN0008894,2023-08-26,ServicerD,147147.0,Default,4.14,Batch-Upload,none,0,Update from ServicerE
LN0008327,2023-04-05,ServicerA,0.0,Current,6.936,Servicer-Portal,balance_mismatch,0,Update from ServicerB
LN0008327,2021-02-04,ServicerC,0.0,60DPD,4.409,LOS,none,0,Update from ServicerC
LN0004152,2022-08-10,ServicerD,0.0,Current,6.802,LOS,status_conflict,0,Update from ServicerB
LN0005535,2021-09-06,ServicerD,0.0,90DPD,3.796,Servicer-Portal,none,0,Update from ServicerA
LN0005535,2023-02-28,ServicerE,0.0,Current,5.356,Servicer-Portal,none,0,Update from ServicerD
LN0005535,2023-08-13,ServicerA,0.0,30DPD,6.627,Servicer-Portal,none,0,Update from ServicerB
LN0003968,2022-12-01,ServicerE,160207.07,90DPD,4.796,LOS,none,0,Update from ServicerB
LN0003968,2021-04-09,ServicerC,160207.07,Current,10.1,LOS,none,0,Update from ServicerD
LN0003968,2021-10-09,ServicerA,160207.07,30DPD,5.63,Servicer-Portal,none,0,Update from ServicerE
LN0003968,2023-11-18,ServicerB,160207.07,90DPD,4.773,Batch-Upload,stale_record,1,Update from ServicerE
LN0003968,2021-08-17,ServicerE,160207.07,30DPD,5.853,Manual-Entry,stale_record,1,Update from ServicerA
LN0003968,2021-06-11,ServicerA,160207.07,Default,8.565,LOS,status_conflict,0,Update from ServicerC
LN0000993,2021-10-15,ServicerD,90448.53,Current,5.682,LOS,status_conflict,0,Update from ServicerB
LN0000993,2021-08-18,ServicerD,90448.53,90DPD,9.027,Batch-Upload,none,0,Update from ServicerC
LN0005621,2021-06-11,ServicerB,238993.06,90DPD,5.609,LOS,none,0,Update from ServicerB
LN0009846,2022-11-02,ServicerA,0.0,30DPD,6.648,LOS,none,0,Update from ServicerD
LN0009846,2023-01-26,ServicerB,0.0,30DPD,5.543,Manual-Entry,none,0,Update from ServicerC
LN0009846,2022-04-08,ServicerA,0.0,Default,6.729,LOS,rate_discrepancy,0,Update from ServicerC
LN0009846,2021-10-07,ServicerA,0.0,30DPD,4.141,Batch-Upload,balance_mismatch,0,Update from ServicerA
LN0001740,2022-11-21,ServicerA,104864.68,Current,5.58,Servicer-Portal,stale_record,1,Update from ServicerB
LN0001740,2022-10-09,ServicerC,104864.68,30DPD,4.444,LOS,stale_record,1,Update from ServicerD
LN0005247,2022-10-13,ServicerC,0.0,Current,6.355,Servicer-Portal,none,0,Update from ServicerD
LN0005247,2023-05-12,ServicerC,0.0,60DPD,6.444,LOS,none,0,Update from ServicerE
LN0005904,2023-11-11,ServicerD,0.0,Current,5.719,Manual-Entry,rate_discrepancy,0,Update from ServicerA
LN0005904,2021-04-04,ServicerD,0.0,30DPD,7.537,Servicer-Portal,none,0,Update from ServicerC
LN0005904,2023-06-12,ServicerD,0.0,30DPD,3.008,LOS,stale_record,1,Update from ServicerD
LN0005904,2021-02-09,ServicerC,0.0,Current,3.466,Manual-Entry,none,0,Update from ServicerB
LN0005904,2021-06-09,ServicerA,0.0,60DPD,2.604,Manual-Entry,status_conflict,0,Update from ServicerD
LN0005904,2021-02-20,ServicerD,0.0,Current,6.333,Servicer-Portal,balance_mismatch,0,Update from ServicerD
LN0009318,2021-02-11,ServicerB,53437.43,30DPD,5.951,LOS,balance_mismatch,0,Update from ServicerC
LN0009318,2023-03-15,ServicerE,66419.18,Current,5.48,Servicer-Portal,status_conflict,0,Update from ServicerB
LN0004340,2022-04-05,ServicerA,363959.44,Default,4.867,Batch-Upload,none,0,Update from ServicerA
LN0004340,2021-08-08,ServicerB,363959.44,Default,8.222,Manual-Entry,stale_record,1,Update from ServicerE
LN0004340,2021-03-22,ServicerD,363959.44,60DPD,6.914,LOS,none,0,Update from ServicerE
LN0004340,2021-06-06,ServicerD,363959.44,60DPD,4.228,Batch-Upload,none,0,Update from ServicerE
LN0001761,2023-12-16,ServicerD,0.0,30DPD,6.519,Manual-Entry,none,0,Update from ServicerC
LN0001761,2021-04-21,ServicerA,0.0,Current,4.753,Batch-Upload,none,0,Update from ServicerB
LN0001761,2021-10-07,ServicerE,0.0,Default,4.458,Batch-Upload,none,0,Update from ServicerE
LN0001761,2023-01-28,ServicerC,0.0,Current,3.999,LOS,none,0,Update from ServicerC
LN0002878,2021-09-27,ServicerA,0.0,30DPD,3.89,Manual-Entry,none,0,Update from ServicerB
LN0002878,2022-05-01,ServicerD,0.0,Current,6.44,LOS,none,0,Update from ServicerB
LN0002878,2023-07-25,ServicerC,0.0,Default,9.302,Batch-Upload,balance_mismatch,0,Update from ServicerC
LN0000023,2022-09-22,ServicerD,146362.73,90DPD,5.751,LOS,rate_discrepancy,0,Update from ServicerB
LN0000023,2022-07-04,ServicerA,146362.73,30DPD,6.321,Manual-Entry,none,0,Update from ServicerD
LN0000023,2021-10-02,ServicerE,146362.73,90DPD,5.259,Manual-Entry,rate_discrepancy,0,Update from ServicerB
LN0009535,2021-05-17,ServicerA,0.0,90DPD,5.471,Manual-Entry,none,0,Update from ServicerA
LN0009535,2023-05-14,ServicerE,0.0,60DPD,6.427,Manual-Entry,balance_mismatch,0,Update from ServicerB
LN0009535,2022-08-07,ServicerB,0.0,Default,4.123,LOS,rate_discrepancy,0,Update from ServicerD
LN0009535,2023-08-07,ServicerA,0.0,30DPD,4.626,LOS,none,0,Update from ServicerB
LN0009535,2021-01-01,ServicerD,0.0,Default,5.147,Servicer-Portal,none,0,Update from ServicerE
LN0001303,2023-07-27,ServicerC,94342.58,60DPD,6.137,Batch-Upload,balance_mismatch,0,Update from ServicerC
LN0001303,2021-10-15,ServicerB,147703.99,Current,4.454,LOS,stale_record,1,Update from ServicerD
LN0008889,2023-05-27,ServicerE,0.0,30DPD,8.062,LOS,none,0,Update from ServicerE
LN0008889,2023-09-16,ServicerB,0.0,30DPD,4.124,Manual-Entry,status_conflict,0,Update from ServicerA
LN0008889,2022-07-25,ServicerB,0.0,30DPD,4.613,Servicer-Portal,none,0,Update from ServicerB
LN0008889,2023-02-07,ServicerC,0.0,90DPD,4.778,Manual-Entry,none,0,Update from ServicerD
LN0006204,2022-09-28,ServicerA,0.0,Default,6.201,Manual-Entry,rate_discrepancy,0,Update from ServicerE
LN0006204,2022-05-17,ServicerE,0.0,30DPD,6.697,Batch-Upload,none,0,Update from ServicerE
LN0004514,2021-05-13,ServicerC,205329.12,Current,8.644,Manual-Entry,none,0,Update from ServicerB
LN0004514,2023-09-10,ServicerB,205329.12,90DPD,7.93,Batch-Upload,none,0,Update from ServicerA
LN0005182,2022-08-31,ServicerC,249402.95,90DPD,7.609,Servicer-Portal,status_conflict,0,Update from ServicerD
LN0005182,2021-10-21,ServicerA,314881.94,60DPD,7.282,Batch-Upload,balance_mismatch,0,Update from ServicerD
LN0005182,2021-10-15,ServicerB,249402.95,30DPD,5.882,Servicer-Portal,none,0,Update from ServicerB
LN0005182,2022-01-06,ServicerC,249402.95,90DPD,7.347,Batch-Upload,none,0,Update from ServicerA
LN0005182,2022-05-11,ServicerC,249402.95,30DPD,4.87,Servicer-Portal,none,0,Update from ServicerD
LN0001488,2022-08-16,ServicerB,0.0,90DPD,3.381,LOS,stale_record,1,Update from ServicerD
LN0001488,2021-04-14,ServicerA,0.0,Current,5.804,Servicer-Portal,rate_discrepancy,0,Update from ServicerD
LN0001488,2023-09-14,ServicerB,0.0,30DPD,8.188,Manual-Entry,none,0,Update from ServicerD
LN0001488,2021-08-18,ServicerA,0.0,60DPD,6.98,Servicer-Portal,status_conflict,0,Update from ServicerD
LN0002775,2022-12-27,ServicerD,0.0,Default,4.591,Batch-Upload,none,0,Update from ServicerC
LN0002775,2022-07-31,ServicerD,0.0,90DPD,4.166,Batch-Upload,none,0,Update from ServicerE
LN0002775,2023-08-29,ServicerA,0.0,90DPD,3.255,LOS,status_conflict,0,Update from ServicerE
LN0002775,2023-04-01,ServicerC,0.0,90DPD,3.689,Manual-Entry,stale_record,1,Update from ServicerC
LN0009479,2023-10-28,ServicerD,71679.01,30DPD,7.332,Servicer-Portal,none,0,Update from ServicerC
LN0000643,2021-06-29,ServicerB,99969.54,Default,7.028,LOS,balance_mismatch,0,Update from ServicerE
LN0000643,2021-01-18,ServicerB,62710.57,Current,5.332,Servicer-Portal,stale_record,1,Update from ServicerC
LN0000643,2023-04-18,ServicerA,62710.57,90DPD,5.55,LOS,none,0,Update from ServicerA
LN0000268,2023-08-25,ServicerD,0.0,30DPD,5.405,Manual-Entry,none,0,Update from ServicerC
LN0000268,2023-09-24,ServicerC,0.0,60DPD,4.566,Manual-Entry,none,0,Update from ServicerD
LN0007982,2021-02-15,ServicerA,0.0,Default,5.018,Servicer-Portal,none,0,Update from ServicerC
LN0007982,2022-04-08,ServicerE,0.0,Default,4.949,Manual-Entry,status_conflict,0,Update from ServicerE
LN0007982,2021-05-05,ServicerC,0.0,60DPD,8.578,Servicer-Portal,stale_record,1,Update from ServicerC
LN0007982,2023-05-10,ServicerA,0.0,Default,4.537,Servicer-Portal,stale_record,1,Update from ServicerA
LN0007982,2021-05-17,ServicerC,0.0,Default,5.207,Batch-Upload,none,0,Update from ServicerC
LN0002347,2023-04-26,ServicerB,192614.95,30DPD,4.792,Servicer-Portal,rate_discrepancy,0,Update from ServicerE
LN0002347,2023-01-14,ServicerB,192614.95,30DPD,7.212,Batch-Upload,none,0,Update from ServicerC
LN0002347,2021-12-17,ServicerB,192614.95,Current,6.429,Batch-Upload,status_conflict,0,Update from ServicerD
LN0008457,2021-09-12,ServicerA,772659.42,90DPD,5.316,LOS,balance_mismatch,0,Update from ServicerC
LN0008457,2021-07-06,ServicerB,456281.91,60DPD,5.986,Batch-Upload,stale_record,1,Update from ServicerD
LN0008457,2023-02-18,ServicerD,456281.91,60DPD,3.504,Servicer-Portal,none,0,Update from ServicerE
LN0008457,2022-12-20,ServicerB,291368.13,90DPD,3.912,Manual-Entry,balance_mismatch,0,Update from ServicerD
LN0001636,2023-01-02,ServicerD,0.0,Default,3.813,LOS,none,0,Update from ServicerA
LN0001636,2021-08-22,ServicerC,0.0,60DPD,6.502,Batch-Upload,balance_mismatch,0,Update from ServicerC
LN0001636,2021-11-22,ServicerA,0.0,30DPD,6.536,Servicer-Portal,rate_discrepancy,0,Update from ServicerC
LN0001636,2021-09-23,ServicerB,0.0,90DPD,3.861,Manual-Entry,status_conflict,0,Update from ServicerA
LN0001636,2023-08-10,ServicerC,0.0,Current,3.865,Manual-Entry,none,0,Update from ServicerB
LN0001636,2022-03-13,ServicerA,0.0,90DPD,7.352,LOS,none,0,Update from ServicerA
LN0005689,2021-12-16,ServicerE,0.0,90DPD,5.222,LOS,none,0,Update from ServicerB
