loan_id,origination_month,original_balance,interest_rate,loan_term_months,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage_year
LN0000104,2018-04,103000,7.25,180,700-739,96-100,37-43,ID,Refinance,Primary,PUD,ServicerB,2018
LN0000105,2019-02,320000,2.375,360,780+,71-80,44-50,VT,Refinance,Secondary,Condo,ServicerC,2019
LN0000106,2020-01,360000,7.375,240,660-699,96-100,44-50,NH,Refinance,Primary,Condo,ServicerB,2020
LN0000107,2022-09,316000,7.25,360,700-739,81-90,,AK,Purchase,Primary,Condo,ServicerE,2022
LN0000108,2019-10,303000,3.0,180,740-779,<=60,44-50,MT,Purchase,Primary,PUD,ServicerB,2019
LN0000109,2019-01,171000,4.875,240,660-699,61-70,37-43,ID,Refinance,Primary,PUD,ServicerD,2019
LN0000110,2018-12,78000,3.8,360,<620,81-90,44-50,NM,Refinance,Primary,Condo,ServicerB,2018
LN0000111,2018-04,112000,3.125,360,660-699,61-70,37-43,MT,Refinance,Primary,Co-op,ServicerA,2018
LN0000112,2018-01,179000,4.0,120,620-659,81-90,37-43,VT,Refinance,Primary,Multi-Family,ServicerE,2018
LN0000113,2020-02,113000,9.99,360,780+,71-80,>50,NE,Refinance,Primary,Co-op,ServicerC,2020
LN0000114,2022-04,472000,4.25,240,740-779,96-100,44-50,NE,Purchase,Primary,Single Family,ServicerB,2022
LN0000115,2020-11,100000,3.875,360,740-779,71-80,>50,NE,Purchase,Primary,Multi-Family,ServicerE,2020
LN0000116,2021-04,160000,2.125,360,780+,61-70,44-50,NM,Purchase,Primary,Condo,ServicerC,2021
LN0000117,2022-03,220000,8.34,240,740-779,71-80,44-50,DE,Refinance,Primary,PUD,ServicerA,2022
LN0000118,2022-10,120000,2.75,360,620-659,71-80,37-43,ID,Refinance,Primary,Single Family,ServicerB,2022
LN0000119,2021-04,229000,6.125,360,780+,61-70,29-36,,Refinance,Primary,Co-op,ServicerA,2021
LN0000120,2021-07,106000,3.125,360,700-739,71-80,37-43,ND,Purchase,Primary,Single Family,ServicerE,2021
LN0000121,2019-02,39000,4.99,360,,61-70,44-50,ID,Cash-Out Refinance,Primary,Single Family,ServicerA,2019
LN0000122,2018-11,223000,7.375,240,780+,<=60,44-50,RI,Other,Primary,Co-op,ServicerE,2018
LN0000123,2021-06,158000,2.875,360,660-699,<=60,37-43,NE,Purchase,Primary,Single Family,ServicerC,2021
LN0000124,2021-07,137000,2.99,180,620-659,81-90,>50,SD,Purchase,Primary,Condo,ServicerB,2021
LN0000125,2021-12,412000,3.125,240,660-699,61-70,44-50,ID,Purchase,Primary,Co-op,ServicerE,2021
LN0000126,2018-11,118000,2.0,360,700-739,81-90,37-43,AK,Purchase,Primary,PUD,ServicerB,2018
LN0000127,2018-01,51000,2.875,360,740-779,91-95,>50,RI,Refinance,Primary,PUD,ServicerE,2018
LN0000128,2021-12,260000,2.875,240,780+,<=60,44-50,ND,Refinance,Primary,Co-op,ServicerC,2021
LN0000129,2020-02,115000,3.0,360,<620,61-70,>50,ID,Purchase,Primary,Multi-Family,ServicerC,2020
LN0000130,2019-04,102000,3.125,120,700-739,<=60,29-36,NE,Purchase,Investment,Condo,ServicerB,2019
LN0000131,2019-09,352000,3.0,180,700-739,81-90,37-43,RI,Refinance,Investment,Single Family,ServicerB,2019
LN0000132,2021-03,80000,3.125,360,660-699,71-80,37-43,ID,Cash-Out Refinance,Primary,Condo,ServicerD,2021
LN0000133,2021-03,174000,3.625,360,620-659,71-80,<=28,NH,Purchase,Primary,PUD,ServicerE,2021
LN0000134,2020-08,169000,4.125,360,660-699,61-70,44-50,AK,Refinance,Primary,Multi-Family,ServicerB,2020
LN0000135,2019-02,79000,3.625,240,780+,91-95,37-43,VT,Refinance,Primary,Single Family,ServicerB,2019
LN0000136,2021-09,125000,6.0,360,,<=60,29-36,ID,Refinance,Primary,Condo,ServicerA,2021
LN0000137,2018-01,184000,3.125,360,700-739,61-70,29-36,RI,Cash-Out Refinance,Primary,Condo,ServicerB,2018
LN0000138,2022-01,234000,2.75,360,740-779,71-80,>50,ID,Refinance,Primary,Single Family,ServicerC,2022
LN0000139,2018-04,184000,7.375,360,660-699,71-80,44-50,WV,Purchase,Primary,Co-op,ServicerB,2018
LN0000140,2019-07,139000,4.25,360,780+,91-95,29-36,ID,Refinance,Primary,Single Family,ServicerE,2019
LN0000141,2021-08,89000,6.188,360,780+,96-100,>50,WY,Purchase,Primary,Multi-Family,ServicerB,2021
LN0000142,2019-07,158000,5.75,360,660-699,71-80,29-36,VT,Purchase,Primary,PUD,ServicerD,2019
LN0000143,2018-03,108000,2.0,240,700-739,71-80,29-36,NE,Purchase,Primary,Condo,ServicerE,2018
LN0000144,2021-01,118000,2.875,180,660-699,<=60,<=28,DE,Other,Investment,Co-op,ServicerB,2021
LN0000145,2021-05,192000,3.75,360,660-699,<=60,44-50,RI,Other,Primary,Multi-Family,ServicerB,2021
LN0000146,2021-05,295000,4.875,360,<620,<=60,29-36,NE,Purchase,Primary,Co-op,ServicerE,2021
LN0000147,2021-12,103000,2.375,240,740-779,96-100,44-50,MT,Refinance,Primary,Multi-Family,ServicerC,2021
LN0000148,2022-11,233000,2.75,360,700-739,<=60,37-43,ID,Refinance,Primary,Co-op,ServicerB,2022
LN0000149,2021-03,121000,6.44,240,<620,71-80,37-43,SD,Purchase,Primary,Condo,ServicerE,2021
LN0000150,2019-05,338000,3.5,360,660-699,71-80,44-50,RI,Purchase,Primary,PUD,ServicerC,2019
LN0000151,2019-01,140000,4.75,180,780+,71-80,44-50,ID,Refinance,Primary,Multi-Family,ServicerB,2019
LN0000152,2022-12,96000,5.025,120,660-699,<=60,44-50,,Cash-Out Refinance,Primary,Co-op,ServicerC,2022
LN0000153,2022-01,120000,3.375,360,620-659,<=60,44-50,VT,Cash-Out Refinance,Primary,Multi-Family,ServicerE,2022
LN0000154,2020-01,152000,3.625,360,700-739,61-70,37-43,KS,Purchase,Primary,Single Family,ServicerB,2020
LN0000155,2018-10,93000,5.25,180,780+,91-95,44-50,MT,Other,Primary,Multi-Family,ServicerA,2018
LN0000156,2021-09,65000,5.5,240,660-699,>100,29-36,DE,Refinance,Primary,Condo,ServicerA,2021
LN0000157,2022-03,536000,2.75,360,740-779,71-80,<=28,ID,Purchase,Primary,Multi-Family,ServicerA,2022
LN0000158,2018-09,172000,4.99,360,740-779,71-80,<=28,ID,Cash-Out Refinance,Primary,Multi-Family,ServicerE,2018
LN0000159,2018-03,414000,8.5,360,660-699,81-90,44-50,WY,Purchase,Primary,Condo,ServicerC,2018
LN0000160,2018-10,208000,2.99,180,740-779,61-70,44-50,HI,Refinance,Primary,Single Family,ServicerB,2018
LN0000161,2018-11,108000,4.552,120,660-699,71-80,,KS,Purchase,Primary,Multi-Family,ServicerA,2018
LN0000162,2019-07,53000,3.25,360,740-779,91-95,44-50,NM,Refinance,Primary,Co-op,ServicerA,2019
LN0000163,2018-10,226000,4.784,360,740-779,91-95,>50,MT,Other,Primary,Single Family,ServicerA,2018
LN0000164,2019-10,114000,6.5,360,700-739,61-70,44-50,NH,Cash-Out Refinance,Primary,Co-op,ServicerB,2019
LN0000165,2022-01,407000,3.25,240,620-659,61-70,<=28,MS,Purchase,Primary,Co-op,ServicerD,2022
LN0000166,2022-02,110000,3.75,360,780+,<=60,29-36,NM,Refinance,Investment,Single Family,ServicerD,2022
LN0000167,2021-11,116000,2.75,180,660-699,71-80,<=28,ID,Refinance,Primary,Single Family,ServicerA,2021
LN0000168,2022-10,88000,3.875,360,620-659,71-80,29-36,ID,Cash-Out Refinance,Primary,Single Family,ServicerE,2022
LN0000169,2022-06,237000,8.25,240,<620,<=60,37-43,WV,Purchase,Primary,Condo,ServicerE,2022
LN0000170,2020-04,219000,5.0,240,700-739,71-80,>50,KS,Refinance,Primary,Multi-Family,ServicerC,2020
LN0000171,2020-04,68000,2.75,360,740-779,>100,37-43,SD,Refinance,Primary,Single Family,ServicerB,2020
LN0000172,2020-07,230000,3.75,180,<620,81-90,37-43,NE,Cash-Out Refinance,Primary,Single Family,ServicerE,2020
LN0000173,2019-11,258000,3.49,360,700-739,96-100,37-43,ID,Purchase,Primary,Single Family,ServicerE,2019
LN0000174,2020-08,102000,3.25,360,660-699,<=60,29-36,HI,Refinance,Primary,Condo,ServicerC,2020
LN0000175,2020-02,334000,3.375,360,740-779,61-70,37-43,MS,Purchase,Primary,Single Family,ServicerB,2020
LN0000176,2018-08,261000,2.784,180,620-659,71-80,37-43,ID,Purchase,Primary,Co-op,ServicerD,2018
LN0000177,2022-10,102000,2.5,360,740-779,<=60,44-50,SD,Refinance,Primary,Condo,ServicerD,2022
LN0000178,2018-02,405000,3.85,180,700-739,,>50,WV,Purchase,Primary,PUD,ServicerB,2018
LN0000179,2022-04,145000,3.75,360,780+,71-80,44-50,ID,Refinance,Primary,Condo,ServicerE,2022
LN0000180,2022-05,162000,6.625,360,620-659,96-100,>50,SD,Cash-Out Refinance,Primary,Single Family,ServicerD,2022
LN0000181,2019-06,137000,3.0,360,660-699,<=60,37-43,VT,Purchase,Primary,Condo,ServicerB,2019
LN0000182,2018-04,336000,4.375,360,620-659,<=60,<=28,NE,Purchase,Primary,PUD,ServicerB,2018
LN0000183,2020-05,434000,3.375,180,780+,96-100,<=28,,Purchase,Primary,PUD,ServicerA,2020
LN0000184,2019-08,124000,2.25,120,780+,71-80,44-50,SD,Purchase,Investment,Multi-Family,ServicerE,2019
LN0000185,2022-12,482000,6.125,360,660-699,71-80,37-43,NH,Purchase,Primary,Co-op,ServicerA,2022
LN0000186,2020-10,121000,2.5,360,740-779,91-95,44-50,NM,Purchase,Primary,PUD,ServicerD,2020
LN0000187,2022-01,37000,3.99,360,740-779,96-100,29-36,NH,Purchase,Primary,Multi-Family,ServicerA,2022
LN0000188,2022-05,71000,3.625,180,700-739,<=60,44-50,NE,Purchase,Primary,Condo,ServicerA,2022
LN0000189,2018-03,487000,6.625,360,700-739,<=60,37-43,WV,Refinance,Primary,Condo,ServicerA,2018
LN0000190,2020-02,152000,3.0,360,660-699,71-80,<=28,WY,Purchase,Primary,Multi-Family,ServicerE,2020
LN0000191,2018-12,141000,3.125,360,620-659,<=60,>50,KS,Purchase,Primary,Single Family,ServicerC,2018
LN0000192,2022-03,233000,6.8,360,780+,61-70,29-36,NH,Purchase,Primary,Single Family,ServicerD,2022
LN0000193,2020-05,153000,3.75,360,,71-80,37-43,NE,Cash-Out Refinance,Primary,Condo,ServicerC,2020
LN0000194,2022-04,281000,3.5,360,740-779,>100,44-50,MT,Refinance,Primary,PUD,ServicerB,2022
LN0000195,2020-04,230000,4.0,360,660-699,81-90,29-36,KS,Purchase,Primary,Co-op,ServicerD,2020
LN0000196,2020-09,86000,3.875,360,660-699,61-70,37-43,RI,Purchase,Primary,Multi-Family,ServicerD,2020
LN0000197,2021-05,195000,6.0,180,740-779,71-80,37-43,ID,Purchase,Secondary,Co-op,ServicerA,2021
LN0000198,2018-02,588000,3.0,360,780+,71-80,44-50,NV,Purchase,Investment,Multi-Family,ServicerC,2018
LN0000199,2021-05,152000,3.125,180,780+,71-80,44-50,RI,Cash-Out Refinance,Primary,Single Family,ServicerE,2021
LN0000200,2018-01,123000,2.99,360,740-779,<=60,44-50,ID,Cash-Out Refinance,Primary,Single Family,ServicerC,2018
LN0000201,2020-03,139000,2.875,360,740-779,96-100,37-43,HI,Refinance,Primary,Co-op,ServicerA,2020
LN0000202,2020-03,527000,5.49,360,620-659,91-95,44-50,ID,Purchase,Primary,Co-op,ServicerD,2020
LN0000203,2021-09,195000,3.375,240,620-659,61-70,29-36,NH,Cash-Out Refinance,Investment,Single Family,ServicerC,2021
LN0000204,2021-09,194000,6.625,360,780+,71-80,>50,AK,Other,Primary,Co-op,ServicerC,2021
LN0000205,2018-02,180000,2.375,360,740-779,71-80,37-43,SD,Refinance,Primary,Condo,ServicerA,2018
LN0000206,2018-12,90000,3.75,360,<620,<=60,<=28,NM,Refinance,Primary,Co-op,ServicerD,2018
LN0000207,2019-09,318000,3.375,360,620-659,71-80,>50,RI,Refinance,Primary,Condo,ServicerA,2019
LN0000208,2018-06,81000,2.49,360,740-779,<=60,<=28,HI,Refinance,Primary,Co-op,ServicerE,2018
LN0000209,2022-09,212000,11.0,360,,<=60,44-50,HI,Purchase,Primary,Condo,ServicerD,2022
LN0000210,2019-07,132000,2.75,360,620-659,>100,37-43,NM,Purchase,Primary,PUD,ServicerB,2019
LN0000211,2019-01,120000,5.75,120,700-739,71-80,44-50,KS,Purchase,Primary,Condo,ServicerB,2019
LN0000212,2020-06,242000,3.5,360,740-779,<=60,>50,DE,Cash-Out Refinance,Primary,Multi-Family,ServicerA,2020
LN0000213,2018-06,106000,4.5,360,740-779,81-90,44-50,AK,Cash-Out Refinance,Primary,Multi-Family,ServicerE,2018
LN0000214,2019-11,234000,3.0,360,660-699,91-95,37-43,MT,Purchase,Secondary,Condo,ServicerA,2019
LN0000215,2019-11,234000,3.875,360,740-779,61-70,37-43,SD,Cash-Out Refinance,Primary,Co-op,ServicerA,2019
LN0000216,2018-06,74000,2.25,360,660-699,61-70,37-43,MT,Cash-Out Refinance,Primary,Single Family,ServicerA,2018
LN0000217,2022-07,261000,2.875,360,660-699,<=60,37-43,ID,Refinance,Primary,Co-op,ServicerA,2022
LN0000218,2022-12,278000,3.125,360,740-779,61-70,29-36,ID,Purchase,Primary,Multi-Family,ServicerC,2022
LN0000219,2019-04,176000,6.875,360,740-779,71-80,29-36,ID,Refinance,Primary,PUD,ServicerD,2019
LN0000220,2019-03,395000,3.75,360,780+,<=60,<=28,ID,Refinance,Primary,Co-op,ServicerA,2019
LN0000221,2021-01,145000,3.125,360,740-779,91-95,44-50,NH,Refinance,Primary,Condo,ServicerD,2021
LN0000222,2019-12,177000,2.75,360,700-739,71-80,44-50,DE,Purchase,Primary,Single Family,ServicerB,2019
LN0000223,2020-07,166000,3.75,180,620-659,91-95,29-36,ID,Refinance,Primary,Co-op,ServicerD,2020
LN0000224,2019-05,182000,3.0,360,660-699,<=60,44-50,VT,Refinance,Primary,Multi-Family,ServicerA,2019
LN0000225,2019-12,95000,6.875,180,,71-80,37-43,AK,Refinance,Primary,Single Family,ServicerE,2019
LN0000226,2018-07,146000,5.3,360,660-699,71-80,44-50,ND,Refinance,Primary,Co-op,ServicerB,2018
LN0000227,2018-08,106000,2.75,360,780+,61-70,>50,HI,Purchase,Primary,Multi-Family,ServicerC,2018
LN0000228,2019-04,280000,3.25,360,700-739,61-70,44-50,SD,Cash-Out Refinance,Primary,Single Family,ServicerE,2019
LN0000229,2021-06,96000,3.99,360,780+,71-80,44-50,MT,Other,Primary,Condo,ServicerC,2021
LN0000230,2020-04,334000,3.125,360,740-779,<=60,37-43,MT,Purchase,Primary,PUD,ServicerB,2020
LN0000231,2019-01,174000,4.55,360,740-779,91-95,29-36,NE,Purchase,Investment,Co-op,ServicerB,2019
LN0000232,2019-07,273000,3.25,360,700-739,<=60,37-43,KS,Other,Primary,Co-op,ServicerE,2019
LN0000233,2020-05,113000,1.75,360,700-739,71-80,37-43,,Purchase,Primary,Single Family,ServicerD,2020
LN0000234,2018-05,103000,3.0,360,700-739,71-80,37-43,VT,Refinance,Primary,Co-op,ServicerD,2018
LN0000235,2020-11,180000,7.99,360,620-659,71-80,37-43,AK,Refinance,Primary,Single Family,ServicerA,2020
LN0000236,2022-07,128000,2.5,360,740-779,,<=28,NE,Other,Primary,Co-op,ServicerB,2022
